game_start_month,game_start_day,game_id,captured_piece_byblack,captured_piece_bywhite,game_duration,game_end_time,game_pgn,game_start_time,game_status,is_active,last_move_time_black,last_move_time_white,latest_fen,loser_id,player_black,player_category,player_white,result,termination_id,termination_reason,total_move_duration_black,total_move_duration_white,winner,winner_id
4,17,f468d924-d23b-56c2-b90f-3d1cf4b45337,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 08:38:02.916+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f465b598-e5a9-59a3-b6f9-3417451b4272,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 14:53:58.842+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f428abba-f3c6-50d1-ace0-b15fe2b42d8a,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 09:00:02.582+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f413ea13-fcd9-5b44-9d22-1fa1f7b063a5,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 08:35:30.170+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f3eec8cc-9927-571a-b89c-7ab945eb5a47,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 12:38:41.743+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f38d4bf7-85a2-5ce6-98b3-2af28e39b14c,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 11:59:27.392+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f2cd1fff-21e4-581f-a7fa-850997197b7f,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 10:14:31.407+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f2b4caea-61c3-5bed-8ce7-d8b9d16e129e,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 08:49:49.346+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f14111ed-16d8-5461-80f2-1d57b198248b,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 11:16:45.272+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,f078744c-e004-5b10-b8b5-3c6e26d39d85,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 13:40:02.464+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
